Id,OwnerAccountId,OwnerUsername,DogId,DogName,WalkerAccountId,WalkerUsername,DurationSeconds,FromNeighborhood,FromLocationId,ToLocationId,WalkStartTimestamp,WalkStopTimestamp,Distance,DistanceUnits,WalkerRating,DogRating,OwnerRating,WalkerComments,OwnerComments
1,1,Owner 1,1,Dog 1,1,Walker 1,1815,West Hollywood,1,1,2018-01-01 14:46:59,2018-01-01 15:17:14,5.98094,Mi,4,3,4,,
2,1,Owner 1,2,Dog 2,1,Walker 1,1815,West Hollywood,1,1,2018-01-01 14:46:59,2018-01-01 15:17:14,2.79022,Mi,1,5,2,,
3,2,Owner 2,3,Dog 3,3,Walker 3,3629,Santa Monica,2,2,2018-01-01 13:37:23,2018-01-01 14:37:52,1.06908,Mi,2,2,3,,
4,3,Owner 3,4,Dog 4,4,Walker 4,3628,Santa Monica,2,2,2018-01-03 14:16:57,2018-01-03 15:17:25,1.62300,Mi,1,1,2,,
5,4,Owner 4,5,Dog 5,5,Walker 5,3629,Santa Monica,2,2,2018-01-03 11:25:57,2018-01-03 12:26:26,5.46943,Mi,1,5,1,,
6,5,Owner 5,6,Dog 6,6,Walker 6,1814,Santa Monica,2,2,2018-01-01 12:52:49,2018-01-01 13:23:03,5.05284,Mi,1,1,5,,
7,6,Owner 6,7,Dog 7,7,Walker 7,3629,Venice,3,3,2018-01-03 15:32:08,2018-01-03 16:32:37,2.93104,Mi,3,4,4,,
8,7,Owner 7,8,Dog 8,8,Walker 8,3629,Venice,3,3,2018-01-01 14:12:40,2018-01-01 15:13:09,3.17186,Mi,4,3,1,,
9,8,Owner 8,9,Dog 9,9,Walker 9,3628,Downtown,4,4,2018-01-01 14:12:29,2018-01-01 15:12:57,1.23801,Mi,3,2,4,,
10,9,Owner 9,10,Dog 10,10,Walker 10,3629,Venice,3,3,2018-01-01 12:54:02,2018-01-01 13:54:31,1.23693,Mi,1,2,4,,
11,10,Owner 10,11,Dog 11,11,Walker 11,1815,Beverly Hills,5,5,2018-01-03 10:52:37,2018-01-03 11:22:52,2.84907,Mi,3,1,2,,
12,11,Owner 11,12,Dog 12,12,Walker 12,1815,West Hollywood,1,1,2018-01-03 12:38:21,2018-01-03 13:08:36,1.89403,Mi,5,2,5,,
13,12,Owner 12,13,Dog 13,13,Walker 13,3629,West Hollywood,1,1,2018-01-02 14:09:03,2018-01-02 15:09:32,1.97076,Mi,1,3,3,,
14,13,Owner 13,14,Dog 14,14,Walker 14,1815,Pacific Palisades,6,6,2018-01-01 13:35:59,2018-01-01 14:06:14,5.89042,Mi,2,4,2,,
15,14,Owner 14,15,Dog 15,15,Walker 15,3629,West Hollywood,1,1,2018-01-03 13:01:18,2018-01-03 14:01:47,5.84290,Mi,2,2,5,,
16,15,Owner 15,16,Dog 16,16,Walker 16,3628,Venice,3,3,2018-01-03 13:25:42,2018-01-03 14:26:10,5.51853,Mi,1,2,5,,
17,16,Owner 16,17,Dog 17,17,Walker 17,3628,Santa Monica,2,2,2018-01-02 14:14:55,2018-01-02 15:15:23,2.77463,Mi,3,4,5,,
18,17,Owner 17,18,Dog 18,18,Walker 18,3629,West Hollywood,1,1,2018-01-02 14:09:48,2018-01-02 15:10:17,2.08728,Mi,2,1,1,,
19,18,Owner 18,19,Dog 19,19,Walker 19,1814,West Hollywood,1,1,2018-01-01 15:41:42,2018-01-01 16:11:56,5.16335,Mi,5,1,5,,
20,19,Owner 19,20,Dog 20,20,Walker 20,3629,Pacific Palisades,6,6,2018-01-02 14:01:25,2018-01-02 15:01:54,2.96076,Mi,1,1,5,,
21,20,Owner 20,21,Dog 21,21,Walker 21,3629,Beverly Hills,5,5,2018-01-01 12:35:31,2018-01-01 13:36:00,4.49935,Mi,5,5,1,,
22,21,Owner 21,22,Dog 22,22,Walker 22,3629,Venice,3,3,2018-01-01 14:15:29,2018-01-01 15:15:58,4.65024,Mi,1,3,3,,
23,22,Owner 22,23,Dog 23,23,Walker 23,1815,Santa Monica,2,2,2018-01-03 14:22:08,2018-01-03 14:52:23,5.45284,Mi,2,4,3,,
24,23,Owner 23,24,Dog 24,24,Walker 24,1814,West Hollywood,1,1,2018-01-02 12:15:50,2018-01-02 12:46:04,5.41875,Mi,4,3,3,,
25,24,Owner 24,25,Dog 25,25,Walker 25,3629,West Hollywood,1,1,2018-01-01 13:25:55,2018-01-01 14:26:24,5.80256,Mi,1,2,2,,
26,25,Owner 25,26,Dog 26,26,Walker 26,3628,West Hollywood,1,1,2018-01-03 14:01:35,2018-01-03 15:02:03,5.76512,Mi,4,2,1,,
27,26,Owner 26,27,Dog 27,27,Walker 27,3629,Santa Monica,2,2,2018-01-01 13:03:29,2018-01-01 14:03:58,2.15475,Mi,5,4,4,,
28,27,Owner 27,28,Dog 28,28,Walker 28,1814,West Hollywood,1,1,2018-01-01 15:04:01,2018-01-01 15:34:15,3.89174,Mi,2,5,4,,
29,28,Owner 28,29,Dog 29,29,Walker 29,1815,West Hollywood,1,1,2018-01-02 14:31:39,2018-01-02 15:01:54,3.26836,Mi,4,2,5,,
30,29,Owner 29,30,Dog 30,30,Walker 30,1814,West Hollywood,1,1,2018-01-01 13:39:51,2018-01-01 14:10:05,3.40787,Mi,4,3,5,,
31,30,Owner 30,31,Dog 31,31,Walker 31,3629,West Hollywood,1,1,2018-01-03 14:22:52,2018-01-03 15:23:21,4.22108,Mi,3,4,5,,
32,31,Owner 31,32,Dog 32,32,Walker 32,1815,West Hollywood,1,1,2018-01-02 14:03:39,2018-01-02 14:33:54,1.73720,Mi,3,5,1,,
33,32,Owner 32,33,Dog 33,33,Walker 33,1814,West Hollywood,1,1,2018-01-02 11:14:55,2018-01-02 11:45:09,2.72556,Mi,3,5,4,,
34,33,Owner 33,34,Dog 34,34,Walker 34,3628,West Hollywood,1,1,2018-01-03 11:47:22,2018-01-03 12:47:50,4.44707,Mi,1,2,3,,
35,34,Owner 34,35,Dog 35,35,Walker 35,3629,West Hollywood,1,1,2018-01-01 14:14:25,2018-01-01 15:14:54,3.90817,Mi,2,2,1,,
36,35,Owner 35,36,Dog 36,36,Walker 36,1814,Santa Monica,2,2,2018-01-02 12:01:01,2018-01-02 12:31:15,2.72843,Mi,5,1,3,,
37,36,Owner 36,37,Dog 37,37,Walker 37,1814,West Hollywood,1,1,2018-01-03 12:45:42,2018-01-03 13:15:56,2.43547,Mi,2,1,1,,
38,37,Owner 37,38,Dog 38,38,Walker 38,1815,West Hollywood,1,1,2018-01-01 13:52:41,2018-01-01 14:22:56,2.74348,Mi,5,2,2,,
39,38,Owner 38,39,Dog 39,39,Walker 39,1814,Santa Monica,2,2,2018-01-03 13:42:49,2018-01-03 14:13:03,4.53457,Mi,2,2,4,,
40,39,Owner 39,40,Dog 40,40,Walker 40,3629,West Hollywood,1,1,2018-01-02 12:51:22,2018-01-02 13:51:51,3.63502,Mi,4,2,4,,
41,40,Owner 40,41,Dog 41,41,Walker 41,1815,West Hollywood,1,1,2018-01-02 12:23:50,2018-01-02 12:54:05,3.65497,Mi,3,5,2,,
42,41,Owner 41,42,Dog 42,42,Walker 42,1815,Santa Monica,2,2,2018-01-03 12:45:44,2018-01-03 13:15:59,1.93202,Mi,1,1,2,,
43,42,Owner 42,43,Dog 43,43,Walker 43,1815,West Hollywood,1,1,2018-01-02 13:08:08,2018-01-02 13:38:23,5.82709,Mi,5,5,1,,
44,43,Owner 43,44,Dog 44,44,Walker 44,3629,West Hollywood,1,1,2018-01-03 12:43:39,2018-01-03 13:44:08,2.32914,Mi,2,1,3,,
45,44,Owner 44,45,Dog 45,45,Walker 45,1814,West Hollywood,1,1,2018-01-03 13:37:26,2018-01-03 14:07:40,2.46203,Mi,3,3,5,,
46,45,Owner 45,46,Dog 46,46,Walker 46,3629,Santa Monica,2,2,2018-01-02 13:22:18,2018-01-02 14:22:47,5.11211,Mi,4,5,3,,
47,46,Owner 46,47,Dog 47,47,Walker 47,1814,Santa Monica,2,2,2018-01-03 14:32:35,2018-01-03 15:02:49,1.61047,Mi,2,2,4,,
48,47,Owner 47,48,Dog 48,48,Walker 48,1814,West Hollywood,1,1,2018-01-02 14:27:13,2018-01-02 14:57:27,3.22995,Mi,4,5,2,,
49,48,Owner 48,49,Dog 49,49,Walker 49,3629,West Hollywood,1,1,2018-01-01 12:52:20,2018-01-01 13:52:49,5.88149,Mi,1,4,5,,
50,49,Owner 49,50,Dog 50,50,Walker 50,3629,West Hollywood,1,1,2018-01-02 13:43:07,2018-01-02 14:43:36,3.03440,Mi,2,2,2,,
51,50,Owner 50,51,Dog 51,51,Walker 51,1814,Santa Monica,2,2,2018-01-03 13:22:38,2018-01-03 13:52:52,1.74329,Mi,4,2,2,,
52,51,Owner 51,52,Dog 52,52,Walker 52,1814,West Hollywood,1,1,2018-01-01 12:23:17,2018-01-01 12:53:31,4.96440,Mi,3,3,4,,
53,52,Owner 52,53,Dog 53,53,Walker 53,3629,West Hollywood,1,1,2018-01-01 12:42:05,2018-01-01 13:42:34,1.93781,Mi,3,2,4,,
54,53,Owner 53,54,Dog 54,54,Walker 54,1814,Santa Monica,2,2,2018-01-03 13:01:08,2018-01-03 13:31:22,4.82408,Mi,5,1,1,,
55,54,Owner 54,55,Dog 55,55,Walker 55,3629,West Hollywood,1,1,2018-01-03 12:17:16,2018-01-03 13:17:45,2.50939,Mi,5,5,5,,
56,55,Owner 55,56,Dog 56,56,Walker 56,3629,West Hollywood,1,1,2018-01-01 12:35:07,2018-01-01 13:35:36,5.20254,Mi,4,2,5,,
57,56,Owner 56,57,Dog 57,57,Walker 57,1815,West Hollywood,1,1,2018-01-01 13:40:01,2018-01-01 14:10:16,2.97259,Mi,3,2,1,,
58,57,Owner 57,58,Dog 58,58,Walker 58,1815,Santa Monica,2,2,2018-01-03 13:28:39,2018-01-03 13:58:54,1.87232,Mi,4,5,5,,
59,58,Owner 58,59,Dog 59,59,Walker 59,3629,Santa Monica,2,2,2018-01-03 12:00:17,2018-01-03 13:00:46,5.71524,Mi,1,1,1,,
60,59,Owner 59,60,Dog 60,60,Walker 60,1814,Santa Monica,2,2,2018-01-02 15:01:25,2018-01-02 15:31:39,3.98543,Mi,1,3,5,,
61,60,Owner 60,61,Dog 61,61,Walker 61,1815,Santa Monica,2,2,2018-01-03 13:42:26,2018-01-03 14:12:41,4.09158,Mi,3,4,3,,
62,61,Owner 61,62,Dog 62,62,Walker 62,3628,West Hollywood,1,1,2018-01-03 15:44:36,2018-01-03 16:45:04,5.31945,Mi,4,3,1,,
63,61,Owner 61,63,Dog 63,62,Walker 62,3628,West Hollywood,1,1,2018-01-03 15:44:36,2018-01-03 16:45:04,5.31945,Mi,4,3,1,,
64,61,Owner 61,64,Dog 64,62,Walker 62,3628,West Hollywood,1,1,2018-01-03 15:44:36,2018-01-03 16:45:04,5.31945,Mi,4,3,1,,
65,62,Owner 62,65,Dog 65,65,Walker 65,3629,West Hollywood,1,1,2018-01-03 12:52:36,2018-01-03 13:53:05,3.64415,Mi,3,1,5,,
66,63,Owner 63,66,Dog 66,66,Walker 66,1814,West Hollywood,1,1,2018-01-01 14:21:06,2018-01-01 14:51:20,1.08202,Mi,1,2,2,,
67,64,Owner 64,67,Dog 67,67,Walker 67,3629,Santa Monica,2,2,2018-01-02 14:38:31,2018-01-02 15:39:00,4.96125,Mi,1,5,4,,
68,65,Owner 65,68,Dog 68,68,Walker 68,3629,Santa Monica,2,2,2018-01-02 12:50:49,2018-01-02 13:51:18,4.21062,Mi,2,2,3,,
69,66,Owner 66,69,Dog 69,69,Walker 69,3628,Santa Monica,2,2,2018-01-01 14:05:28,2018-01-01 15:05:56,1.16489,Mi,1,2,2,,
70,67,Owner 67,70,Dog 70,70,Walker 70,1815,Santa Monica,2,2,2018-01-03 13:53:31,2018-01-03 14:23:46,2.65900,Mi,2,4,3,,
71,67,Owner 67,71,Dog 71,70,Walker 70,1815,Santa Monica,2,2,2018-01-03 13:53:31,2018-01-03 14:23:46,2.65900,Mi,2,4,3,,
72,68,Owner 68,72,Dog 72,72,Walker 72,1814,West Hollywood,1,1,2018-01-01 11:44:12,2018-01-01 12:14:26,1.55063,Mi,5,4,3,,
73,69,Owner 69,73,Dog 73,73,Walker 73,1815,Santa Monica,2,2,2018-01-03 13:18:36,2018-01-03 13:48:51,2.88573,Mi,4,2,5,,
74,69,Owner 69,74,Dog 74,73,Walker 73,1815,Santa Monica,2,2,2018-01-03 13:18:36,2018-01-03 13:48:51,2.88573,Mi,4,2,5,,
75,70,Owner 70,75,Dog 75,75,Walker 75,1814,West Hollywood,1,1,2018-01-03 12:37:48,2018-01-03 13:08:02,2.79295,Mi,2,3,3,,
76,71,Owner 71,76,Dog 76,76,Walker 76,1814,Venice,3,3,2018-01-02 13:13:13,2018-01-02 13:43:27,4.00872,Mi,1,4,2,,
77,72,Owner 72,77,Dog 77,77,Walker 77,3628,Santa Monica,2,2,2018-01-02 15:19:40,2018-01-02 16:20:08,3.23445,Mi,1,3,1,,
78,73,Owner 73,78,Dog 78,78,Walker 78,3629,West Hollywood,1,1,2018-01-03 14:53:15,2018-01-03 15:53:44,5.14764,Mi,2,1,2,,
79,74,Owner 74,79,Dog 79,79,Walker 79,1814,Santa Monica,2,2,2018-01-01 13:38:15,2018-01-01 14:08:29,3.46544,Mi,4,2,5,,
80,75,Owner 75,80,Dog 80,80,Walker 80,1814,Pacific Palisades,6,6,2018-01-01 16:00:41,2018-01-01 16:30:55,5.55535,Mi,4,5,3,,
81,76,Owner 76,81,Dog 81,81,Walker 81,1814,Beverly Hills,5,5,2018-01-01 14:19:52,2018-01-01 14:50:06,4.86875,Mi,2,3,1,,
82,77,Owner 77,82,Dog 82,82,Walker 82,1815,Downtown,4,4,2018-01-03 14:20:43,2018-01-03 14:50:58,5.66168,Mi,1,4,1,,
83,78,Owner 78,83,Dog 83,83,Walker 83,3628,Beverly Hills,5,5,2018-01-03 15:08:46,2018-01-03 16:09:14,1.56516,Mi,2,2,4,,
84,79,Owner 79,84,Dog 84,84,Walker 84,1814,Pacific Palisades,6,6,2018-01-01 11:38:38,2018-01-01 12:08:52,4.28060,Mi,3,1,4,,
85,80,Owner 80,85,Dog 85,85,Walker 85,3629,West Hollywood,1,1,2018-01-03 14:39:12,2018-01-03 15:39:41,4.05554,Mi,2,5,2,,
86,81,Owner 81,86,Dog 86,86,Walker 86,3628,Santa Monica,2,2,2018-01-02 11:23:01,2018-01-02 12:23:29,1.71224,Mi,2,5,3,,
87,82,Owner 82,87,Dog 87,87,Walker 87,1815,West Hollywood,1,1,2018-01-01 11:38:44,2018-01-01 12:08:59,5.63978,Mi,1,2,3,,
88,82,Owner 82,88,Dog 88,87,Walker 87,1815,West Hollywood,1,1,2018-01-01 11:38:44,2018-01-01 12:08:59,5.63978,Mi,1,2,3,,
89,83,Owner 83,89,Dog 89,89,Walker 89,1814,Santa Monica,2,2,2018-01-01 14:41:33,2018-01-01 15:11:47,3.93504,Mi,4,3,5,,
90,84,Owner 84,90,Dog 90,90,Walker 90,1815,Santa Monica,2,2,2018-01-02 13:28:27,2018-01-02 13:58:42,4.77296,Mi,2,2,4,,
91,85,Owner 85,91,Dog 91,91,Walker 91,1815,Santa Monica,2,2,2018-01-01 13:38:03,2018-01-01 14:08:18,4.08308,Mi,4,5,4,,
92,86,Owner 86,92,Dog 92,92,Walker 92,3629,West Hollywood,1,1,2018-01-03 12:08:18,2018-01-03 13:08:47,5.86176,Mi,3,5,1,,
93,87,Owner 87,93,Dog 93,93,Walker 93,3629,West Hollywood,1,1,2018-01-02 16:08:12,2018-01-02 17:08:41,1.18454,Mi,3,5,2,,
94,88,Owner 88,94,Dog 94,94,Walker 94,3629,Santa Monica,2,2,2018-01-03 13:10:48,2018-01-03 14:11:17,1.39288,Mi,5,2,4,,
95,89,Owner 89,95,Dog 95,95,Walker 95,3628,West Hollywood,1,1,2018-01-03 13:17:20,2018-01-03 14:17:48,5.65974,Mi,5,2,2,,
96,90,Owner 90,96,Dog 96,96,Walker 96,1814,Beverly Hills,5,5,2018-01-01 14:33:12,2018-01-01 15:03:26,4.49784,Mi,1,5,5,,
97,91,Owner 91,97,Dog 97,97,Walker 97,3629,Downtown,4,4,2018-01-03 12:41:20,2018-01-03 13:41:49,1.65835,Mi,5,5,4,,
98,92,Owner 92,98,Dog 98,98,Walker 98,3628,Downtown,4,4,2018-01-02 15:00:29,2018-01-02 16:00:57,2.48577,Mi,4,5,3,,
99,93,Owner 93,99,Dog 99,99,Walker 99,1814,West Hollywood,1,1,2018-01-02 10:45:07,2018-01-02 11:15:21,4.70902,Mi,1,3,1,,
100,94,Owner 94,100,Dog 100,100,Walker 100,3629,Santa Monica,2,2,2018-01-03 11:07:49,2018-01-03 12:08:18,2.51265,Mi,4,3,3,,
